,departure_id,departure_city,departure_name,departure_latitude,departure_longitude,destination_id,destination_city,destination_name,destination_latitude,destination_longitude,distance
4085,7004428,London,London St. Pancras International,51.531922,-0.126361,8798949,Lille,Lille Europe Eurostar,50.63923,3.074877,244.6153844909818
4086,8798949,Lille,Lille Europe Eurostar,50.63923,3.074877,8704949,Lille,Lille Europe,50.639293,3.07645,0.1111488077532257
4087,8704949,Lille,Lille Europe,50.639293,3.07645,8700152,Lyon,Lyon Part Dieu,45.760568,4.859991,558.3165222794224
4089,8300046,Milano,Milano Centrale,45.487143,9.204828,8300217,Bologna,Bologna Centrale,44.506142,11.343407,200.42973718543712
4095,8798014,Paris,Paris Nord Eurostar,48.880697,2.354598,8700013,Paris,Paris Montparnasse,48.840488,2.319577,5.153028979031464
4103,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,8005556,Siegburg,Siegburg/Bonn,50.794051,7.202616,201.45908588478414
4104,8005556,Siegburg,Siegburg/Bonn,50.794051,7.202616,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,378.6533749488421
4105,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,5500003,Budapest,Budapest-Keleti,47.500386,19.08507,618.0798819386258
4136,8700152,Lyon,Lyon Part Dieu,45.760568,4.859991,8300522,Torino,Torino Porta Susa,45.071833,7.665165,231.94509373010808
4172,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,8070003,Frankfurt,Frankfurt(M) Flughafen Fernbf,50.052926,8.569776,312.1423812182517
4173,8070003,Frankfurt,Frankfurt(M) Flughafen Fernbf,50.052926,8.569776,8000096,Stuttgart,Stuttgart Hbf,48.785052,9.182589,147.78434775562485
4174,8000096,Stuttgart,Stuttgart Hbf,48.785052,9.182589,8000261,München,München Hbf,48.140364,11.558744,189.29142434768275
4175,8000261,München,München Hbf,48.140364,11.558744,620368,München,"Hauptbahnhof, München",48.139312,11.559975,0.14841536799290833
4176,620368,München,"Hauptbahnhof, München",48.139312,11.559975,790002,Odeonsplatz,"Odeonsplatz, München",48.142719,11.576317,1.2703838141751744
4177,790002,Odeonsplatz,"Odeonsplatz, München",48.142719,11.576317,638143,Odeonsplatz,"Odeonsplatz, München",48.143411,11.57798,0.14541653665495227
4197,8800004,Bruxelles,Bruxelles Midi,50.835375,4.335695,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,316.7331247396644
4198,8000105,Frankfurt,Frankfurt(Main)Hbf,50.106817,8.663003,8010205,Leipzig,Leipzig Hbf,51.345081,12.381167,295.68032052329926
4200,8010085,Dresden,Dresden Hbf,51.040221,13.731409,8010022,Bad,Bad Schandau,50.918741,14.139861,31.62489628409659
4201,8010022,Bad,Bad Schandau,50.918741,14.139861,5400003,Decin,Decin hl.n.,50.773987,14.201527,16.66801598120814
4202,5400003,Decin,Decin hl.n.,50.773987,14.201527,5400019,Usti,Usti nad Labem hl.n.,50.659564,14.044728,16.84473371293608
4203,5400019,Usti,Usti nad Labem hl.n.,50.659564,14.044728,5400206,Praha,Praha Masarykovo n.,50.087769,14.434195,69.32055843812121
4212,8000013,Augsburg,Augsburg Hbf,48.365247,10.885595,7900011,Pivka,Pivka,45.675252,14.191378,390.1381996601691
