airline,airline ID, source airport, source airport id,destination airport, destination airport id, stops, equipment,source_longitude,source_latitude,source_city,source_country,source_country_code,dest_longitude,dest_latitude,dest_city,dest_country,dest_country_code,distance,new_source_latitude,new_source_longitude,new_dest_latitude,new_dest_longitude,new_distance,color,emissions
IG,3463,NAP,1561.0,VCE,1551.0,0.0,737 M80,14.2908,40.886002,Naples,Italy,IT,12.3519,45.505299,Venice,Italy,IT,537.1054064930079,40.85631,14.24641,45.43713,12.33265,532.4562046281688,#FF3333,60131.59471423087
IG,3463,NAP,1561.0,VRN,1550.0,0.0,737 320 M80,14.2908,40.886002,Naples,Italy,IT,10.8885,45.395699,Villafranca,Italy,IT,572.282597870194,40.85631,14.24641,44.03297,8.10525,615.1045238073291,#FF3333,64001.085765721335
IG,3463,OLB,1520.0,TRN,1526.0,0.0,M80,95.1763,40.898701,Olbia,Italy,IT,76.4963,45.200802,Torino,Italy,IT,1587.2410934551651,36.90812,30.69556,45.07049,7.68682,2123.9066234768648,#FF3333,175646.52028006816
IG,3463,OLB,1520.0,VRN,1550.0,0.0,M80,95.1763,40.898701,Olbia,Italy,IT,10.8885,45.395699,Villafranca,Italy,IT,6531.200176655934,36.90812,30.69556,44.03297,8.10525,2060.150895370284,#FF3333,719482.0194321527
IG,3463,TFS,1056.0,FCO,1555.0,0.0,320,-1.65725002289,28.044500351,Tenerife,Spain,ES,12.2388889,41.8002778,Rome,Italy,IT,1980.675635374132,9.93303,-74.69346,41.89193,12.51133,NA,#FF3333,218924.31989115453
IG,3463,VRN,1550.0,TFS,1056.0,0.0,320,10.8885,45.395699,Villafranca,Italy,IT,-1.65725002289,28.044500351,Tenerife,Spain,ES,2223.8223333571896,44.03297,8.10525,9.93303,-74.69346,NA,#FF3333,245670.45666929084
JP,83,AMS,580.0,LJU,1569.0,0.0,319 CR9,47.6389,52.308601,Amsterdam,Netherlands,NL,14.4576,46.223701,Ljubljana,Slovenia,SI,2476.56977020338,52.37403,4.88969,46.05108,14.50513,989.4488016540395,#FF3333,273472.6747223718
JP,83,BRU,302.0,LJU,1569.0,0.0,319 CR9,44.8443984985,50.9014015198,Brussels,Belgium,BE,14.4576,46.223701,Ljubljana,Slovenia,SI,2278.3983617940216,43.74316,-81.24998,46.05108,14.50513,918.4033769072365,#FF3333,251673.8197973424
JP,83,CPH,609.0,LJU,1569.0,0.0,CR9,12.656000137329,55.617900848389,Copenhagen,Denmark,DK,14.4576,46.223701,Ljubljana,Slovenia,SI,1052.0986176419274,55.67594,12.56553,46.05108,14.50513,1078.7456538947074,#FF3333,116780.84794061202
JP,83,FRA,340.0,LJU,1569.0,0.0,CR9 319,85.70556,50.033333,Frankfurt (Oder),Germany,DE,14.4576,46.223701,Ljubljana,Slovenia,SI,5100.83253116383,52.34714,14.55062,46.05108,14.50513,700.0976925513286,#FF3333,562141.5784280213
